Sl. No.,State/UT,Dangerous or Careless Driving/Over-taking/etc.,Dangerous or Careless Driving/Over-taking/etc.,Dangerous or Careless Driving/Over-taking/etc.,Over Speeding,Over Speeding,Over Speeding,Driving under Influence of Drug/Alcohol,Driving under Influence of Drug/Alcohol,Driving under Influence of Drug/Alcohol,Physical Fatigue of Drivers,Physical Fatigue of Drivers,Physical Fatigue of Drivers,Defect in Mechanical Condition of Motor Vehicle,Defect in Mechanical Condition of Motor Vehicle,Defect in Mechanical Condition of Motor Vehicle,Animal Crossing,Animal Crossing,Animal Crossing,Weather Condition (Total),Weather Condition (Total),Weather Condition (Total),Weather Condition(Poor Visibility),Weather Condition(Poor Visibility),Weather Condition(Poor Visibility),Weather Condition (Others Causes),Weather Condition (Others Causes),Weather Condition (Others Causes),Lack of Road Infrastructure,Lack of Road Infrastructure,Lack of Road Infrastructure,Vehicles Parking at Road Shoulders,Vehicles Parking at Road Shoulders,Vehicles Parking at Road Shoulders,Causes Not Known,Causes Not Known,Causes Not Known,Other Causes,Other Causes,Other Causes,Total Road Accidents,Total Road Accidents,Total Road Accidents,Unmanned Railway Crossing Accidents,Unmanned Railway Crossing Accidents,Unmanned Railway Crossing Accidents,Grand Total,Grand Total,Grand Total
,,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died,Cases,Injured,Died
,STATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDHRA PRADESH,5899,6807,2277,12866,14570,5123,77,111,41,9,6,5,7,8,8,62,67,41,254,303,105,61,72,14,193,231,91,15,29,2,96,103,58,717,1832,48,675,783,276,20677,24619,7984,0,0,0,20677,24619,7984
2,ARUNACHAL PRADESH,59,49,23,76,97,41,1,4,3,0,0,0,16,49,10,0,0,0,6,13,6,1,13,0,5,0,6,2,10,0,2,1,0,14,15,6,24,37,20,200,275,109,0,0,0,200,275,109
3,ASSAM,1775,1577,823,4440,3855,1780,261,223,108,72,77,26,60,44,29,73,59,23,807,693,246,227,191,69,580,502,177,215,209,76,113,99,41,105,106,44,134,139,49,8055,7081,3245,0,0,0,8055,7081,3245
4,BIHAR,2450,1630,1862,4766,3510,3387,261,259,92,109,102,107,259,198,245,270,115,87,1259,960,986,962,725,759,297,235,227,148,117,157,164,118,86,142,96,98,179,101,98,10007,7206,7205,23,0,23,10030,7206,7228
5,CHHATTISGARH,2604,2454,1131,8928,8657,2990,267,214,109,26,19,13,75,63,24,141,104,14,225,145,54,78,60,10,147,85,44,82,44,9,107,72,33,788,620,350,656,697,276,13899,13089,5003,0,0,0,13899,13089,5003
6,GOA,1594,712,139,1782,728,156,22,7,2,4,0,1,2,1,0,10,6,0,0,0,0,0,0,0,0,0,0,4,2,1,20,2,0,0,0,0,2,2,0,3440,1460,299,0,0,0,3440,1460,299
7,GUJARAT,1821,1691,972,13338,12916,5739,94,86,41,235,251,89,159,141,97,102,83,70,405,479,246,300,354,168,105,125,78,103,115,41,111,107,67,29,24,6,106,83,60,16503,15976,7428,0,0,0,16503,15976,7428
8,HARYANA,3541,2906,1766,4744,4052,2234,155,142,55,42,30,14,66,38,25,82,80,21,659,623,356,392,359,208,267,264,148,117,76,70,84,51,59,440,340,225,1007,909,444,10937,9247,5269,0,0,0,10937,9247,5269
9,HIMACHAL PRADESH,1478,2453,514,1141,1703,445,78,152,47,8,12,2,31,54,12,7,18,12,122,269,80,89,203,48,33,66,32,3,47,2,4,4,1,3,2,1,21,26,8,2896,4740,1124,0,0,0,2896,4740,1124
10,JAMMU & KASHMIR,616,731,88,3314,4487,624,23,17,11,37,18,9,95,122,16,0,0,0,106,139,14,17,26,6,89,113,8,0,0,0,0,0,0,314,463,38,1290,1540,209,5795,7517,1009,0,0,0,5795,7517,1009
11,JHARKHAND,1616,1171,1179,2320,1561,1660,626,362,413,44,30,65,223,154,230,118,271,74,97,67,44,43,38,20,54,29,24,48,88,40,65,86,54,33,16,14,27,12,28,5217,3818,3801,0,0,0,5217,3818,3801
12,KARNATAKA,4741,6860,1193,34640,41947,9314,116,144,35,2,6,1,45,111,18,41,79,21,518,596,173,469,518,162,49,78,11,13,30,4,45,73,13,89,65,31,394,531,148,40644,50442,10951,0,0,0,40644,50442,10951
